trade_date,n_selected,gross_return,net_return,avg_cost,bench_return
2019-07-31,30,-0.018039377204277864,-0.020159377204277865,0.0021200000000000004,-0.009121474704393851
2019-08-30,30,0.05999274265328517,0.05787274265328517,0.0021200000000000004,0.01789571237306735
2019-09-30,30,-0.01380439904669829,-0.01592439904669829,0.0021200000000000004,-0.0033813101880233913
2019-10-31,30,0.007117109715490381,0.004997109715490381,0.0021200000000000004,-0.018475862785340823
2019-11-29,30,0.1122590350098213,0.1101390350098213,0.0021200000000000004,0.08729757000721206
2019-12-31,30,0.021996548815351936,0.019876548815351936,0.0021200000000000004,0.014370581240727688
2020-01-23,30,0.0009575261484995434,-0.001162473851500457,0.0021200000000000004,0.0034254573553188145
2020-02-28,30,0.022033812107867267,0.019913812107867267,0.0021200000000000004,-0.034727689490111
2020-03-31,30,-0.0012229877651347939,-0.0033429877651347945,0.0021200000000000004,0.037045778536579324
2020-04-30,30,0.03693601815970973,0.034816018159709736,0.0021200000000000004,0.030900441004338523
2020-05-29,30,0.07601570299125203,0.07389570299125203,0.0021200000000000004,0.07594212473493593
2020-06-30,30,0.1698792625226512,0.1677592625226512,0.0021200000000000004,0.13901383521492067
2020-07-31,30,0.06960430555061053,0.06748430555061054,0.0021200000000000004,0.033078955828973
2020-08-31,30,-0.06529819096829856,-0.06741819096829856,0.0021200000000000004,-0.06684028071916485
2020-09-30,30,0.1486822954920592,0.14656229549205918,0.0021200000000000004,0.01117246754880615
2020-10-30,30,0.038735451476665975,0.03661545147666598,0.0021200000000000004,0.03301171468633565
2020-11-30,30,-0.06107379646066809,-0.06319379646066808,0.0021200000000000004,-0.03186371648230945
2020-12-31,30,-0.1009636891624958,-0.1030836891624958,0.0021200000000000004,-0.05609355303641076
2021-01-29,30,0.09800843507164994,0.09588843507164994,0.0021200000000000004,0.028502989132085554
2021-02-26,30,0.052958118719210065,0.05083811871921007,0.0021200000000000004,0.01850274886893217
2021-03-31,30,0.06968001929015062,0.06756001929015062,0.0021200000000000004,0.00974990554138968
2021-04-30,30,0.04450669405145777,0.04238669405145777,0.0021200000000000004,0.0679118281526622
2021-05-31,30,0.04999224930841902,0.04787224930841902,0.0021200000000000004,0.03301561327764008
2021-06-30,30,-0.013031842138545524,-0.015151842138545524,0.0021200000000000004,0.0026318953660141825
2021-07-30,30,0.0989234084858718,0.09680340848587181,0.0021200000000000004,0.06819608484902959
2021-08-31,30,-0.014445861343580162,-0.016565861343580162,0.0021200000000000004,-0.005172349061632683
2021-09-30,30,-0.02148770988239268,-0.02360770988239268,0.0021200000000000004,-0.017987416903716105
