trade_date,n_selected,gross_return,net_return,avg_cost,bench_return
2019-07-31,30,0.04015810933054483,0.03803810933054483,0.0021200000000000004,-0.009121474704393851
2019-08-30,30,0.13279407527544512,0.13069074194211178,0.002103333333333334,0.01789571237306735
2019-09-30,30,0.0929457650693746,0.09089243173604127,0.0020533333333333332,-0.0033813101880233913
2019-10-31,30,-0.014001849771937946,-0.016121849771937945,0.0021200000000000004,-0.018475862785340823
2019-11-29,30,0.0927263987136563,0.0906063987136563,0.0021200000000000004,0.08729757000721206
2019-12-31,30,0.03878496898367853,0.036664968983678534,0.0021200000000000004,0.014370581240727688
2020-01-23,30,0.009568456908568708,0.007448456908568707,0.0021200000000000004,0.0034254573553188145
2020-02-28,30,0.16442097697132815,0.16236764363799483,0.0020533333333333332,-0.034727689490111
2020-03-31,30,0.5906899750149718,0.5887533083483051,0.0019366666666666664,0.037045778536579324
2020-04-30,30,0.27612270686556484,0.2740193735322315,0.002103333333333334,0.030900441004338523
2020-05-29,30,0.2421563153836875,0.2400363153836875,0.0021200000000000004,0.07594212473493593
2020-06-30,30,0.3859680996005596,0.3838480996005596,0.0021200000000000004,0.13901383521492067
2020-07-31,30,0.2648681213394322,0.2627981213394322,0.00207,0.033078955828973
2020-08-31,30,-0.04503204552332452,-0.04711871218999119,0.002086666666666667,-0.06684028071916485
2020-09-30,30,0.23763971284783764,0.23551971284783763,0.0021200000000000004,0.01117246754880615
2020-10-30,30,0.06278656654387188,0.06066656654387188,0.0021200000000000004,0.03301171468633565
2020-11-30,30,-0.025329587282936227,-0.027449587282936228,0.0021200000000000004,-0.03186371648230945
2020-12-31,30,-0.037746849444467476,-0.03985018277780081,0.002103333333333334,-0.05609355303641076
2021-01-29,30,0.0676828846697164,0.06556288466971641,0.0021200000000000004,0.028502989132085554
2021-02-26,30,0.04797430219072342,0.04585430219072342,0.0021200000000000004,0.01850274886893217
2021-03-31,30,0.027377180468128728,0.025257180468128727,0.0021200000000000004,0.00974990554138968
2021-04-30,30,0.10258443641484132,0.10049776974817465,0.0020866666666666664,0.0679118281526622
2021-05-31,30,0.08098342622845324,0.07886342622845324,0.0021200000000000004,0.03301561327764008
2021-06-30,30,-0.0916810437558517,-0.0938010437558517,0.0021200000000000004,0.0026318953660141825
2021-07-30,30,0.018460702596535317,0.016340702596535316,0.0021200000000000004,0.06819608484902959
2021-08-31,30,0.022215794785483314,0.020095794785483314,0.0021200000000000004,-0.005172349061632683
2021-09-30,30,0.05251888720809886,0.050415553874765526,0.0021033333333333334,-0.017987416903716105
2021-10-29,30,0.08447867853034724,0.08235867853034724,0.0021200000000000004,0.1125923580628844
2021-11-30,30,0.0074277066689527275,0.005307706668952727,0.0021200000000000004,0.02672781179836438
2021-12-31,30,-0.04297430609180751,-0.04509430609180751,0.0021200000000000004,-0.09093667943899135
2022-01-28,30,-0.0007666656825848069,-0.0028866656825848073,0.0021200000000000004,0.043409005459214015
2022-02-28,30,-0.10630945158284101,-0.10842945158284101,0.0021200000000000004,-0.05823723084402573
2022-03-31,30,-0.0772163284577147,-0.0793363284577147,0.0021200000000000004,-0.1464711059514413
2022-04-29,30,0.11068917928312808,0.10856917928312808,0.0021200000000000004,0.10831058824573674
2022-05-31,30,0.04159443408525606,0.03949110075192273,0.002103333333333334,0.08187253500105203
2022-06-30,30,0.0042942327485839225,0.0021908994152505887,0.002103333333333334,0.02928684533658045
2022-07-29,30,0.0783122079536424,0.07642554128697573,0.0018866666666666663,-0.03268635565657037
2022-08-31,30,0.05850586919354317,0.056519202526876505,0.0019866666666666665,-0.08641464757372279
2022-09-30,30,-0.007229665905626526,-0.00933299923895986,0.002103333333333334,0.038287642020392414
2022-10-31,30,0.1972531793484175,0.1951831793484175,0.00207,0.07496106863875777
2022-11-30,30,-0.027016989680433257,-0.029003656347099924,0.0019866666666666665,-0.040742120125454466
2022-12-30,30,0.08612656206012309,0.08430656206012309,0.0018199999999999996,0.08442427751486235
2023-01-31,30,0.04488998269111895,0.04276998269111895,0.0021200000000000004,0.030708170530666264
2023-02-28,30,-0.017912426635986464,-0.01994909330265313,0.0020366666666666667,-0.010737149092541028
2023-03-31,30,-0.020152418398073364,-0.022055751731406698,0.001903333333333333,-0.0245395673732508
2023-04-28,30,0.0074206149771552455,0.005383948310488579,0.0020366666666666667,0.00741829144936931
2023-05-31,30,0.01704477420127861,0.014958107534611943,0.002086666666666667,0.0236971101942625
2023-06-30,30,0.0458884776463657,0.043885144313032365,0.002003333333333333,0.008752848292246807
2023-07-31,30,-0.06095205259525976,-0.06307205259525976,0.0021200000000000004,-0.039900694217300116
2023-08-31,30,0.00020371173693052303,-0.0018329549297361437,0.0020366666666666667,-0.0016457484824250821
2023-09-28,30,-0.026333071487552293,-0.028386404820885627,0.0020533333333333332,-0.011596317541394693
2023-10-31,30,0.12370557754698698,0.12165224421365364,0.0020533333333333332,0.05553287564539148
2023-11-30,30,-0.013607300392468017,-0.015727300392468016,0.0021200000000000004,-0.0045870954720753365
2023-12-29,30,-0.1672361415873452,-0.16932280825401186,0.002086666666666667,-0.18569050278887164
2024-01-31,30,0.011712013380406465,0.009592013380406465,0.0021200000000000004,0.061275762764975074
2024-02-29,30,0.17155133319190116,0.16943133319190115,0.0021200000000000004,0.040068165336919793
2024-03-29,30,-0.005983264953579196,-0.00803659828691253,0.0020533333333333332,-0.01366871948599309
2024-04-30,30,-0.04250011889390836,-0.044620118893908364,0.0021200000000000004,-0.008244659766484466
2024-05-31,30,-0.08146642425762814,-0.0835530909242948,0.002086666666666667,-0.08011624418602456
2024-06-28,30,0.032327611477380745,0.030207611477380745,0.0021200000000000004,0.007667930709956654
2024-07-31,30,-0.003739555903710386,-0.005859555903710387,0.0021200000000000004,-0.039506877474799085
2024-08-30,30,0.18914133924162344,0.1870380059082901,0.0021033333333333334,0.23647146100970398
2024-09-30,30,0.06863006967219663,0.06651006967219664,0.0021200000000000004,0.0880220832792804
2024-10-31,30,0.11810087920664403,0.1159975458733107,0.002103333333333334,0.0543547610293319
